Name		MPV	DistribMean	DistribMeanErr	DistribStdDev	DistribStdDevErr	FitMean	FitMeanErr	FitSigma	FitSigmaErr	FracIntervalGlissantSigma	FracIntervalGlissant68	FracInterval

h_ClustSat_MyCorrWOinv_size1		1	-0.618792	0.116837	0.202368	0.0826166	-0.403474	4.83502	0.258758	1.70241	0.666667	0.666667	0

h_ClustSat_HscpCorrWOinv_size1		1	-0.618792	0.116837	0.202368	0.0826166	-0.432333	62.7285	0.23843	1.33983	0.666667	0.666667	0

h_ClustSat_MyCorrWOinv_size2		14	-0.252108	0.0532712	0.485324	0.0376684	-0.0568902	0.0285934	0.174258	0.0348228	0.445783	0.662651	0.542169

h_ClustSat_HscpCorrWOinv_size2		14	-0.252108	0.0532712	0.485324	0.0376684	-0.0568902	0.0285934	0.174258	0.0348228	0.445783	0.662651	0.542169

h_ClustSat_MyCorrWOinv_size3		1181	-0.0744488	0.00411645	0.305728	0.00291077	-0.0615333	0.00235294	0.136659	0.00233961	0.528954	0.807999	0.71245

h_ClustSat_HscpCorrWOinv_size3		992	-0.0943997	0.0035331	0.262593	0.00249828	-0.0942635	0.00342001	0.161749	0.00434042	0.631198	0.866269	0.734709

h_ClustSat_MyCorrWOinv_size4		1897	-0.0284016	0.0029801	0.270205	0.00210725	-0.0372267	0.00170731	0.127214	0.00180186	0.563738	0.866691	0.766557

h_ClustSat_HscpCorrWOinv_size4		1472	-0.0527289	0.00309274	0.280366	0.00218689	-0.0666723	0.0031858	0.177099	0.00365928	0.57346	0.843845	0.712116

h_ClustSat_MyCorrWOinv_size5		4211	-0.12639	0.00245232	0.332287	0.00173405	-0.0462164	0.00111717	0.12027	0.00138224	0.52767	0.757305	0.67628

h_ClustSat_HscpCorrWOinv_size5		3115	-0.125094	0.00250504	0.339477	0.00177133	-0.0479762	0.00199402	0.186669	0.00268357	0.585351	0.74713	0.622245

h_ClustSat_MyCorrWOinv_size6		286	-0.384904	0.0067011	0.322489	0.00473839	-5.19465	0.744579	1.90269	1.22836	0	0	0.316085

h_ClustSat_HscpCorrWOinv_size6		263	-0.340277	0.00709036	0.341223	0.00501364	-3.44832	0.749634	2.19544	1.36719	0	0	0.362225
