Name		MPV	DistribMean	DistribMeanErr	DistribStdDev	DistribStdDevErr	FitMean	FitMeanErr	FitSigma	FitSigmaErr	FracIntervalGlissantSigma	FracIntervalGlissant68	FracInterval	FracRight	FracLeft

h_ClustSat_HscpCorrNoInv		6597	-0.113621	0.000843862	0.321297	0.000596701	 FitMean : -0.0120781	0.000961961	 FitSigma : 0.105881	0.0018347	0.40802	0.762726	0.664656	 FracRight : 0.0401431	 FracLeft : 0.163247

h1_ClustSat_MyCorrModulGeom_WihtoutCrit		7675	0.0616242	0.00102996	0.390198	0.000728293	 FitMean : 0.00942537	0.000697339	 FitSigma : 0.0951458	0.00123188	0.412942	0.755157	0.690917	 FracRight : 0.1236	 FracLeft : 0.0795487

h1_ClustSat_MyCorrModulGeom_DeltaQ		8051	-0.0136092	0.000852308	0.324129	0.000602673	 FitMean : 0.00516018	0.000677888	 FitSigma : 0.0965871	0.00125381	0.46656	0.806294	0.737595	 FracRight : 0.0644399	 FracLeft : 0.0938924

h1_ClustSat_MyCorrModulGeom_ThresholdSat25		7917	0.0661954	0.000997939	0.378298	0.000705649	 FitMean : 0.00813288	0.000669898	 FitSigma : 0.0944296	0.00118732	0.42468	0.766062	0.704827	 FracRight : 0.12209	 FracLeft : 0.0729179

h1_ClustSat_MyCorrModulGeom_RatioSat60		7815	0.0495418	0.000986945	0.374635	0.000697875	 FitMean : 0.00558629	0.00067457	 FitSigma : 0.0954759	0.00122894	0.420848	0.770583	0.707653	 FracRight : 0.115253	 FracLeft : 0.077212

h1_ClustSat_MyCorrModulGeom_RatioSat90		7392	-0.00927422	0.000911629	0.346644	0.000644619	 FitMean : -0.00431578	0.000756962	 FitSigma : 0.100381	0.00145026	0.432586	0.792061	0.713415	 FracRight : 0.0846768	 FracLeft : 0.0844149

h1_ClustSat_MyCorrModulGeom_DeltaQRatioSat60		8132	-0.0228612	0.000810824	0.308566	0.000573339	 FitMean : 0.00151963	0.000668825	 FitSigma : 0.0968923	0.00125318	0.473487	0.817116	0.749878	 FracRight : 0.0581468	 FracLeft : 0.0915558

h1_ClustSat_MyCorrModulGeom_DeltaQRatioSat90		7549	-0.0653025	0.000763633	0.290729	0.00053997	 FitMean : -0.00753242	0.000775835	 FitSigma : 0.101054	0.00146607	0.443111	0.821555	0.739022	 FracRight : 0.0421489	 FracLeft : 0.0982761

h1_ClustSat_MyCorrModulGeom_ThresholdSat25RatioSat60		7954	0.0515204	0.000962427	0.365465	0.000680538	 FitMean : 0.00443187	0.000662061	 FitSigma : 0.095309	0.00121003	0.462204	0.778234	0.717096	 FracRight : 0.113557	 FracLeft : 0.0731316

h1_ClustSat_MyCorrModulGeom_ThresholdSat25RatioSat90		7439	-0.00931727	0.000899299	0.342036	0.0006359	 FitMean : -0.00486533	0.000755113	 FitSigma : 0.100258	0.00144104	0.435198	0.794997	0.716662	 FracRight : 0.0836705	 FracLeft : 0.0832914

h1_ClustSat_MyCorrModulGeom_ThresholdSat25DeltaQ		8256	-0.00702288	0.000828326	0.31507	0.000585715	 FitMean : 0.00415308	0.000657513	 FitSigma : 0.095862	0.00121163	0.477637	0.814897	0.749202	 FracRight : 0.0644123	 FracLeft : 0.0871789

h1_ClustSat_MyCorrModulGeom_ThresholdSat25DeltaQRatioSat60		8238	-0.0188647	0.000794092	0.302222	0.000561508	 FitMean : 0.000577759	0.000660769	 FitSigma : 0.0966728	0.00123462	0.48049	0.822644	0.757225	 FracRight : 0.0580021	 FracLeft : 0.0873857

h1_ClustSat_MyCorrModulGeom_ThresholdSat25DeltaQRatioSat90		7577	-0.0640813	0.000757125	0.288258	0.000535368	 FitMean : -0.0079798	0.000775875	 FitSigma : 0.100945	0.001459	0.444703	0.823168	0.740952	 FracRight : 0.0420799	 FracLeft : 0.0970837

h1_ClustSat_MyCorrModulGeom_ChargeMinEstimated		7937	0.0675797	0.00100192	0.379646	0.000708468	 FitMean : 0.00545324	0.000665613	 FitSigma : 0.09506	0.00120849	0.424432	0.765621	0.705061	 FracRight : 0.123559	 FracLeft : 0.0714497
