Name		MPV	DistribMean	DistribMeanErr	DistribStdDev	DistribStdDevErr	FitMean	FitMeanErr	FitSigma	FitSigmaErr	FracIntervalGlissantSigma	FracIntervalGlissant68	FracInterval

h_ClustSat_MyCorrWOinv_0p500		608	-0.576135	0.00651466	0.339701	0.00460656	-0.96291	0.0869295	0.210608	0.035437	0.524458	0.655756	0.218463

h_ClustSat_HscpCorrWOinv_0p500		598	-0.606555	0.00535195	0.279072	0.0037844	-1.97012	0.0766834	0.534582	0.0183467	0	0	0.147481

h_ClustSat_MyCorrWOinv_500p1000		2482	-0.202882	0.00274555	0.289821	0.0019414	4.11926	0.131423	1.05395	0.0259254	0	0	0.601883

h_ClustSat_HscpCorrWOinv_500p1000		1963	-0.228881	0.00252893	0.267038	0.00178822	4.57563	0.105384	1.31352	0.0243339	0	0	0.555157

h_ClustSat_MyCorrWOinv_1000p1500		2570	-0.0402124	0.00239384	0.249178	0.0016927	-0.0548218	0.00151977	0.128555	0.00164736	0.566593	0.883878	0.763605

h_ClustSat_HscpCorrWOinv_1000p1500		1965	-0.0442251	0.00226043	0.235345	0.00159836	-0.0200961	0.00308349	0.16467	0.00523485	0.584302	0.90214	0.734274

h_ClustSat_MyCorrWOinv_1500p2000		1181	0.0168032	0.00381088	0.274965	0.0026947	-0.0439943	0.0027304	0.140386	0.00334821	0.569649	0.882353	0.790765

h_ClustSat_HscpCorrWOinv_1500p2000		942	0.019529	0.00362616	0.261863	0.00256408	-0.0295498	0.00366588	0.16115	0.00372152	0.613527	0.889826	0.777735

h_ClustSat_MyCorrWOinv_2000p4000		962	0.0581961	0.00463731	0.301817	0.00327907	-0.0327618	0.00281959	0.139037	0.00348081	0.574588	0.865882	0.797176

h_ClustSat_HscpCorrWOinv_2000p4000		819	0.0970977	0.00486325	0.316448	0.00343884	0.00825496	0.00293456	0.149695	0.00310068	0.644941	0.847765	0.780235
